"variable","est","grad","obj","iter","convg","run_time","faboup_iter","faboup_convg","update_type","max_faboup_iter"
"lambda_2",1.70516151127706,1.18242281743619e-07,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"lambda_3",0.409604677945936,-1.15380939433862e-05,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"lambda_4",-1.92502650095617,2.84888710511133e-06,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"sigma2_u_1",1.25147582181127,-1.31087335074609e-05,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"sigma2_u_2",1.59630830430315,1.13875994203205e-05,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"sigma2_u_3",1.48491069170267,-3.11125778196253e-06,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"sigma2_u_4",0.969483656203119,-1.18613602717588e-07,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"sigma2_e_1",0.621374420818102,1.27832676835027e-05,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"sigma2_e_2",0.475985663585585,-1.30349372926553e-05,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"sigma2_e_3",0.404454948132194,-1.26526964467355e-05,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"sigma2_e_4",0.684985233403027,-1.54685433884083e-06,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
"theta_ou_11",1.15790331355124,NA,7996.53984317118,11,0,20.4232790470123,12,0,"block",200
"theta_ou_21",-4.94650687668961,NA,7996.53984317118,11,0,20.4232790470123,12,0,"block",200
"theta_ou_12",-0.761787047793145,NA,7996.53984317118,11,0,20.4232790470123,12,0,"block",200
"theta_ou_22",6.36977387433595,NA,7996.53984317118,11,0,20.4232790470123,12,0,"block",200
"sigma_ou_11",1.07756548619666,NA,7996.53984317118,11,0,20.4232790470123,12,0,"block",200
"sigma_ou_22",2.29033838063869,NA,7996.53984317118,11,0,20.4232790470123,12,0,"block",200
"lambda_1",1.13009595087695,7.41315518641983e-05,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"lambda_2",1.70544300683645,5.60487857015346e-06,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"lambda_3",0.409708493373555,-2.07125776832129e-05,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"lambda_4",-1.92507411120553,3.06016214146609e-06,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"sigma2_u_1",1.25146207485906,4.41679967693176e-05,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"sigma2_u_2",1.5962717417124,6.01171428101788e-05,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"sigma2_u_3",1.48491028590129,3.09794005060038e-07,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"sigma2_u_4",0.969331364494917,-2.49412519940373e-05,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"sigma2_e_1",0.621366881053978,2.53291593139693e-05,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"sigma2_e_2",0.476038999316956,-3.14233481720771e-05,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"sigma2_e_3",0.404428511578858,-2.52270169626145e-05,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"sigma2_e_4",0.685890814253296,-6.47912935747286e-06,7996.53964126946,17,1,10.7391889095306,13,0,"block",200
"theta_ou_11",1.15805230266837,NA,7996.53950759977,9,0,17.0769090652466,13,0,"block",200
"theta_ou_21",-4.9453728007754,NA,7996.53950759977,9,0,17.0769090652466,13,0,"block",200
"theta_ou_12",-0.762160782183244,NA,7996.53950759977,9,0,17.0769090652466,13,0,"block",200
"theta_ou_22",6.36799813194934,NA,7996.53950759977,9,0,17.0769090652466,13,0,"block",200
"sigma_ou_11",1.07733657274747,NA,7996.53950759977,9,0,17.0769090652466,13,0,"block",200
"sigma_ou_22",2.28890602643044,NA,7996.53950759977,9,0,17.0769090652466,13,0,"block",200
"lambda_1",1.13023009497266,-3.71154197242873e-06,7996.53941990216,16,1,10.3383131027222,14,0,"block",200
"lambda_2",1.70562896528745,4.1185443668823e-06,7996.53941990216,16,1,10.3383131027222,14,0,"block",200
"lambda_3",0.409776795915284,2.62090714819863e-06,7996.53941990216,16,1,10.3383131027222,14,0,"block",200
